Producto_ID,Producto_Nombre,Categoria,Fecha_Venta,Monto_Venta,Cliente_ID,Cliente_Nombre,Cliente_Email,Incorrect_Data_Type,Total_Monto_Venta,Monto_Venta_Binned
5,Producto E,Categoría 1,2023-02-14,475.0,105,Claudia,fernandoATexampleDOTcom,105,3745.0,High
6,producto F,Categoría 3,2023-02-15,452.0,106,Ricardo,ricardo@example.com,106,3312.0,High
7,Producto G,Categoría 1,2023-02-16,174.0,107,Diana,diana@example.com,107,2875.0,Low
8,Producto H,Categoría 3,2023-02-17,476.0,108,Eduardo,eduardo@example.com,108,3055.0,High
9,Producto I,Categoría 1,2023-02-18,423.0,109,Veronica,veronica@example.com,109,2634.0,High
10,Producto J,Categoría 2,2023-02-19,399.0,110,Fernando,fernando@example.com,110,3480.0,Medium
1,Producto A,Categoría 1,2023-02-20,502.0,101,Roberto,roberto@example.com,101,3353.0,High
2,Producto B,Categoría 1,2023-02-21,146.0,102,Patricia,patricia@example.com,102,3297.0,Low
3,Producto C,Categoría 1,2023-02-22,165.0,103,Lorena,lorena@example.com,103,3082.0,Low
4,Producto D,Categoría 1,2023-02-23,447.0,104,Sergio,sergio@example.com,104,3957.0,High
5,Producto E,Categoría 2,2023-02-24,464.0,105,Claudia,claudia@example.com,105,3745.0,High
6,producto F,Categoría 1,2023-02-25,322.0,106,Ricardo,ricardo@example.com,106,3312.0,Medium
7,Producto G,Categoría 2,2023-02-26,471.0,107,Diana,diana@example.com,107,2875.0,High
8,Producto H,Categoría 3,2023-02-27,531.0,108,Eduardo,eduardo@example.com,108,3055.0,High
9,Producto I,Categoría 3,2023-02-28,314.0,109,Veronica,veronica@example.com,109,2634.0,Medium
10,Producto J,Categoría 3,2023-03-01,275.0,110,Fernando,fernando@example.com,110,3480.0,Medium
1,Producto A,Categoría 2,2023-03-02,598.0,101,Roberto,roberto@example.com,101,3353.0,High
2,Producto B,Categoría 3,2023-03-03,270.0,102,Patricia,patricia@example.com,102,3297.0,Medium
3,Producto C,Categoría 2,2023-03-04,264.0,103,Lorena,lorena@example.com,103,3082.0,Medium
4,Producto D,Categoría 2,2023-03-05,407.0,104,Sergio,sergio@example.com,104,3957.0,High
5,Producto E,Categoría 3,2023-03-06,268.0,105,Claudia,claudia@example.com,105,3745.0,Medium
6,producto F,Categoría 2,2023-03-07,473.0,106,Ricardo,ricardo@example.com,106,3312.0,High
7,Producto G,Categoría 1,2023-03-08,302.0,107,Diana,diana@example.com,107,2875.0,Medium
8,Producto H,Categoría 2,2023-03-09,281.0,108,Eduardo,eduardo@example.com,108,3055.0,Medium
9,Producto I,Categoría 1,2023-03-10,260.0,109,Veronica,veronica@example.com,109,2634.0,Medium
10,Producto J,Categoría 1,2023-03-11,469.0,110,Fernando,fernando@example.com,110,3480.0,High
1,Producto A,Categoría 3,2023-03-12,134.0,101,Roberto,roberto@example.com,101,3353.0,Low
2,Producto B,Categoría 2,2023-03-13,216.0,102,Patricia,patricia@example.com,102,3297.0,Medium
3,Producto C,Categoría 1,2023-03-14,548.0,103,Lorena,lorena@example.com,103,3082.0,High
4,Producto D,Categoría 1,2023-03-15,217.0,104,Sergio,sergio@example.com,104,3957.0,Medium
5,Producto E,Categoría 2,2023-03-16,391.0,105,Claudia,claudia@example.com,105,3745.0,Medium
6,producto F,Categoría 3,2023-03-17,466.0,106,Ricardo,ricardo@example.com,106,3312.0,High
7,Producto G,Categoría 2,2023-03-18,384.0,107,Diana,diana@example.com,107,2875.0,Medium
8,Producto H,Categoría 1,2023-03-19,412.0,108,Eduardo,eduardo@example.com,108,3055.0,High
9,Producto I,Categoría 2,2023-03-20,155.0,109,Veronica,veronica@example.com,109,2634.0,Low
10,Producto J,Categoría 2,2023-03-21,249.0,110,Fernando,fernando@example.com,110,3480.0,Medium
1,Producto A,Categoría 1,2023-03-22,433.0,101,Roberto,roberto@example.com,101,3353.0,High
2,Producto B,Categoría 2,2023-03-23,267.0,102,Patricia,patricia@example.com,102,3297.0,Medium
3,Producto C,Categoría 3,2023-03-24,532.0,103,Lorena,lorena@example.com,103,3082.0,High
4,Producto D,Categoría 2,2023-03-25,525.0,104,Sergio,sergio@example.com,104,3957.0,High
5,Producto E,Categoría 2,2023-03-26,208.0,105,Claudia,claudia@example.com,105,3745.0,Medium
6,producto F,Categoría 2,2023-03-27,449.0,106,Ricardo,ricardo@example.com,106,3312.0,High
7,Producto G,Categoría 1,2023-03-28,250.0,107,Diana,diana@example.com,107,2875.0,Medium
8,Producto H,Categoría 3,2023-03-29,358.0,108,Eduardo,eduardo@example.com,108,3055.0,Medium
9,Producto I,Categoría 2,2023-03-30,336.0,109,Veronica,veronica@example.com,109,2634.0,Medium
10,Producto J,Categoría 3,2023-03-31,394.0,110,Fernando,fernando@example.com,110,3480.0,Medium
1,Producto A,Categoría 1,2023-04-01,217.0,101,Roberto,roberto@example.com,101,3353.0,Medium
2,Producto B,Categoría 3,2023-04-02,582.0,102,Patricia,patricia@example.com,102,3297.0,High
3,Producto C,Categoría 3,2023-04-03,141.0,103,Lorena,lorena@example.com,103,3082.0,Low
4,Producto D,Categoría 2,2023-04-04,575.0,104,Sergio,sergio@example.com,104,3957.0,High
5,Producto E,Categoría 2,2023-04-05,504.0,105,Claudia,claudia@example.com,105,3745.0,High
6,producto F,Categoría 2,2023-04-06,328.0,106,Ricardo,ricardo@example.com,106,3312.0,Medium
7,Producto G,Categoría 2,2023-04-07,194.0,107,Diana,diana@example.com,107,2875.0,Low
8,Producto H,Categoría 2,2023-04-08,228.0,108,Eduardo,eduardo@example.com,108,3055.0,Medium
9,Producto I,Categoría 2,2023-04-09,496.0,109,Veronica,veronica@example.com,109,2634.0,High
10,Producto J,Categoría 1,2023-04-10,369.0,110,Fernando,fernando@example.com,110,3480.0,Medium
1,Producto A,Categoría 3,2023-04-11,229.0,101,Roberto,roberto@example.com,101,3353.0,Medium
1,Producto A,Categoría 1,2023-01-01,,101,Carlos,,101,3353.0,
10,Producto J,Categoría 3,2023-01-20,351.0,110,Fernando,,110,3480.0,Medium
